idx,idx_old,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,samples,MPA,polarity,tp1_food_YESvsNO,id,P_1,p<0.05,"p,0.01",sign_1
4519,2519,501.298688,501.296862,501.300192,749.72345,748.7237,751.2964,90,90,349930.6599,pos,TRUE,4519,0.168447,0,0,1
4520,2520,501.387294,501.38572,501.388832,823.3757,820.7385,826.0734,91,91,84935.67534,pos,FALSE,NA,NA,NA,NA,NA
4521,2521,501.609633,501.607954,501.611019,400.4181,399.8441,401.2025,99,99,1661153.115,pos,TRUE,4521,0.8094,0,0,1
4522,2522,501.763487,501.757191,501.774682,354.4433,352.9409,356.6773,99,99,537544.2137,pos,TRUE,4522,0.786794,0,0,-1
4523,2523,501.800808,501.798799,501.802309,750.0648,749.1423,751.3657,97,97,168485.846,pos,TRUE,4523,0.458586,0,0,1
4524,2524,501.944112,501.942195,501.945781,400.4329,399.8441,401.7232,99,99,1206589.087,pos,TRUE,4524,0.928493,0,0,1
4525,2525,502.257901,502.25599,502.25964,353.2242,351.7395,354.7354,85,85,103741.0169,pos,TRUE,4525,0.296623,0,0,1
4526,2526,502.288725,502.287083,502.290355,681.03245,680.3137,681.6076,100,100,1176599.632,pos,TRUE,4526,0.000509,TRUE,TRUE,1
4527,2527,502.27857,502.27659,502.280504,400.3698,399.8039,401.5227,97,97,481190.0659,pos,TRUE,4527,0.746762,0,0,1
4528,2528,502.28694,502.284612,502.322744,716.33975,714.0805,721.0831,78,78,317829.6404,pos,FALSE,NA,NA,NA,NA,NA
4529,2529,502.612613,502.610226,502.614533,400.1926,398.7379,402.0022,88,88,124632.2277,pos,TRUE,4529,0.556479,0,0,1
4530,2530,502.81024,502.807741,502.813627,387.61215,386.3331,388.7576,76,76,45591.54175,pos,FALSE,NA,NA,NA,NA,NA
4531,2531,503.194647,503.192657,503.196346,459.9126,444.1715,473.6148,77,77,87283.29578,pos,FALSE,NA,NA,NA,NA,NA
4532,2532,503.261657,503.25982,503.272554,400.5431,378.0877,401.3097,105,99,1378701.15,pos,TRUE,4532,0.696094,0,0,1
4533,2533,503.302298,503.300692,503.30364,311.256,310.6183,312.1246,99,99,1195362.758,pos,TRUE,4533,0.459085,0,0,-1
4534,2534,503.314352,503.276181,503.316751,752.73195,750.2542,783.6955,90,89,209962.4024,pos,FALSE,NA,NA,NA,NA,NA
4535,2535,503.29384,503.290523,503.29746,680.9716,680.3137,681.6712,87,87,282561.5055,pos,TRUE,4535,0.017478,TRUE,0,1
4536,2536,503.390134,503.386949,503.391716,764.9394,763.4172,765.8938,99,99,714199.4632,pos,TRUE,4536,0.00974,TRUE,TRUE,1
4537,2537,503.596016,503.594222,503.597576,400.4594,399.8822,401.2025,99,99,992932.3754,pos,TRUE,4537,0.758529,0,0,1
4538,2538,503.782457,503.778516,503.793252,375.0345,352.6172,377.902,92,91,180738.638,pos,TRUE,4538,0.540773,0,0,1
4539,2539,503.816715,503.814878,503.818939,752.1279,750.955,753.8836,91,91,112356.5482,pos,TRUE,4539,0.002676,TRUE,TRUE,1
4540,2540,503.930358,503.928148,503.932277,400.3958,399.7197,401.6532,99,99,385600.3592,pos,TRUE,4540,0.668672,0,0,1
4541,2541,504.264321,504.247888,504.267127,400.3464,398.7931,437.5532,87,85,137596.7031,pos,TRUE,4541,0.894073,0,0,1
4542,2542,504.301951,504.300486,504.30356,674.9085,674.159,675.722,99,99,775136.9204,pos,TRUE,4542,0.002199,TRUE,TRUE,1
4543,2543,504.33383,504.306025,504.335381,300.5493,299.7092,311.8245,99,99,524375.164,pos,TRUE,4543,0.883411,0,0,-1
4544,2544,504.337365,504.299148,504.34037,727.15615,724.879,748.9007,98,98,351728.8384,pos,FALSE,NA,NA,NA,NA,NA
4545,2545,504.393306,504.369167,504.395478,765.1578,762.8423,796.1132,93,84,188201.4448,pos,TRUE,4545,0.008378,TRUE,TRUE,1
4546,2546,504.61331,504.605592,504.618992,399.58005,398.111,401.7231,68,68,50623.05428,pos,FALSE,NA,NA,NA,NA,NA
4547,2547,505.268975,505.261541,505.279559,392.39165,390.1758,398.771,80,80,90382.44348,pos,FALSE,NA,NA,NA,NA,NA
4548,2548,505.336826,505.334428,505.338404,300.1638,299.4211,301.7817,83,83,91667.42179,pos,FALSE,NA,NA,NA,NA,NA
4549,2549,505.331796,505.303159,505.343487,759.7469,725.8744,761.0426,73,69,94817.74943,pos,TRUE,4549,0.466765,0,0,1
4550,2550,505.344695,505.303649,505.34745,651.4676,649.8557,675.8051,101,98,203877.8546,pos,FALSE,NA,NA,NA,NA,NA
4551,2551,505.767796,505.766015,505.771475,353.22315,351.7229,354.0117,98,98,324084.1498,pos,TRUE,4551,0.661358,0,0,-1
4552,2552,506.269004,506.23395,506.271883,399.53835,397.6684,411.228,84,84,97382.47382,pos,FALSE,NA,NA,NA,NA,NA
4553,2553,506.26928,506.267099,506.271402,352.86665,351.4682,354.6488,78,78,94360.12715,pos,FALSE,NA,NA,NA,NA,NA
4554,2554,506.353693,506.344385,506.357259,735.2334,711.7231,748.3811,77,77,95779.71563,pos,FALSE,NA,NA,NA,NA,NA
4555,2555,506.356614,506.354657,506.358162,953.0762,950.9211,958.4545,55,55,76073.39952,pos,FALSE,NA,NA,NA,NA,NA
4556,2556,506.415946,506.414128,506.418135,842.38735,840.6742,844.0046,104,104,106094.607,pos,TRUE,4556,0.3987,0,0,1
4557,2557,506.59994,506.590907,506.605426,399.28335,397.3426,401.0785,62,62,42623.37956,pos,FALSE,NA,NA,NA,NA,NA
4558,2558,506.9343,506.930595,506.93908,399.9501,398.4287,401.3292,81,81,91441.98948,pos,FALSE,NA,NA,NA,NA,NA
4559,2559,507.129539,507.127866,507.131246,463.1157,443.6697,474.7691,77,77,66121.9962,pos,FALSE,NA,NA,NA,NA,NA
4560,2560,507.159803,507.157757,507.16173,213.5905,211.9343,214.8142,67,67,87086.17431,pos,FALSE,NA,NA,NA,NA,NA
4561,2561,507.267879,507.252233,507.297275,400.1364,397.9037,403.0274,61,61,40576.04496,pos,FALSE,NA,NA,NA,NA,NA
4562,2562,507.319707,507.318193,507.326351,701.46935,662.9069,702.3281,104,103,1657192.28,pos,TRUE,4562,0.000011,TRUE,TRUE,1
4563,2563,507.821319,507.819811,507.82298,701.3648,700.8626,701.9683,99,99,1047909.858,pos,TRUE,4563,0,TRUE,TRUE,1
4564,2564,507.921066,507.917622,507.925508,399.35135,397.5948,400.952,78,78,87404.13653,pos,FALSE,NA,NA,NA,NA,NA
4565,2565,508.245373,508.243644,508.247967,353.2575,351.6974,354.7114,96,96,288033.1627,pos,TRUE,4565,0.820075,0,0,-1
4566,2566,508.328348,508.323268,508.332201,697.59095,693.1144,700.9134,100,100,642430.654,pos,TRUE,4566,0.000099,TRUE,TRUE,1
4567,2567,508.371969,508.370484,508.373515,736.1077,735.1595,737.4071,99,99,569449.6284,pos,TRUE,4567,0.337094,0,0,1
4568,2568,508.58815,508.584789,508.594696,400.6559,399.1212,402.5,92,92,143686.4348,pos,TRUE,4568,0.759485,0,0,1
4569,2569,508.746807,508.744771,508.74839,353.1605,351.4901,354.35,76,76,98477.09937,pos,FALSE,NA,NA,NA,NA,NA
4570,2570,508.780385,508.778781,508.781987,458.7272,457.9347,459.5569,92,92,80809.61389,pos,FALSE,NA,NA,NA,NA,NA
4571,2571,508.821614,508.819356,508.823981,701.3388,700.5279,702.0993,99,99,140669.5444,pos,TRUE,4571,0,TRUE,TRUE,1
4572,2572,508.956459,508.954347,508.958417,403.6463,402.3605,405.1412,97,97,185601.3111,pos,TRUE,4572,0.887378,0,0,1
4573,2573,509.242353,509.239709,509.248219,397.1856,395.5752,399.5485,69,69,97134.2187,pos,FALSE,NA,NA,NA,NA,NA
4574,2574,509.30787,509.306275,509.309477,378.09295,377.2576,379.1137,100,100,468467.0995,pos,TRUE,4574,0.719805,0,0,1
4575,2575,509.340362,509.338877,509.342279,776.4743,775.8328,777.2936,96,96,281247.1502,pos,FALSE,NA,NA,NA,NA,NA
4576,2576,509.375952,509.372384,509.377476,735.6966,733.6587,737.4071,98,98,208560.9696,pos,TRUE,4576,0.141474,0,0,1
4577,2577,509.802785,509.798223,509.805016,358.9511,357.8743,360.691,98,98,555107.2078,pos,TRUE,4577,0.10826,0,0,1
4578,2578,510.303017,510.300845,510.306105,358.4126,356.7647,360.1945,97,97,204635.6695,pos,TRUE,4578,0.884943,0,0,1
4579,2579,510.351216,510.349669,510.352693,721.542,720.4273,722.6268,100,100,1919006.794,pos,TRUE,4579,0.000001,TRUE,TRUE,1
4580,2580,510.387383,510.385873,510.389344,770.0661,769.0635,771.1701,97,97,658892.9536,pos,TRUE,4580,0.020775,TRUE,0,1
4581,2581,510.629764,510.622967,510.631708,406.5652,405.0962,407.3094,99,99,585756.5118,pos,TRUE,4581,0.928442,0,0,1
4582,2582,510.962365,510.956951,510.96543,406.3341,404.9563,407.5129,99,99,458718.2851,pos,TRUE,4582,0.686819,0,0,1
4583,2583,511.258458,511.257045,511.260739,457.86435,456.3754,459.9285,90,90,128715.9785,pos,TRUE,4583,0.283292,0,0,-1
4584,2584,511.268561,511.262435,511.270341,306.64215,302.8112,307.7093,66,66,73988.28332,pos,FALSE,NA,NA,NA,NA,NA
4585,2585,511.320059,511.318454,511.321859,645.62605,643.2072,647.0956,98,98,230764.3043,pos,TRUE,4585,0.229579,0,0,1
4586,2586,511.306388,511.287002,511.315905,405.9735,386.8119,407.8493,97,97,213778.451,pos,FALSE,NA,NA,NA,NA,NA
4587,2587,511.298171,511.296699,511.301382,756.9126,755.8201,758.1066,65,65,59741.17438,pos,FALSE,NA,NA,NA,NA,NA
4588,2588,511.354575,511.353153,511.356098,721.3165,720.3393,722.4028,99,99,452201.0634,pos,TRUE,4588,0,TRUE,TRUE,1
4589,2589,511.391016,511.360401,511.392644,769.7286,766.5307,771.1701,79,79,180830.3019,pos,TRUE,4589,0.112371,0,0,1
4590,2590,511.785624,511.783799,511.787299,378.4214,377.8121,379.2797,99,99,1021135.111,pos,TRUE,4590,0.383293,0,0,1
4591,2591,511.829294,511.826948,511.830914,757.2949,756.2403,758.4877,99,99,288782.3955,pos,TRUE,4591,0.34224,0,0,1
4592,2592,512.157423,512.155649,512.159456,728.8728,727.9437,729.5972,53,53,31772.08022,pos,FALSE,NA,NA,NA,NA,NA
4593,2593,512.283682,512.281409,512.287031,378.1337,358.9165,379.2402,98,98,745627.482,pos,TRUE,4593,0.880219,0,0,1
4594,2594,512.330204,512.327675,512.332021,662.4539,661.4758,663.1562,99,99,217278.5582,pos,TRUE,4594,0.018653,TRUE,0,1
4595,2595,512.331172,512.329135,512.336703,757.3321,755.7768,759.238,91,91,137991.3935,pos,FALSE,NA,NA,NA,NA,NA
4596,2596,512.330799,512.329245,512.332384,555.4495,554.6683,556.0191,80,80,149066.6366,pos,FALSE,NA,NA,NA,NA,NA
4597,2597,512.784101,512.758955,512.792173,357.6948,351.6201,380.1816,63,63,125556.6231,pos,FALSE,NA,NA,NA,NA,NA
4598,2598,512.832479,512.829073,512.834093,756.55885,754.1494,757.7513,54,54,14972.38137,pos,FALSE,NA,NA,NA,NA,NA
4599,2599,512.981563,512.9798,512.983266,403.4563,402.445,404.5991,97,97,200600.8822,pos,FALSE,NA,NA,NA,NA,NA
4600,2600,513.31583,513.313776,513.317715,403.3306,401.9823,404.7386,98,98,146493.6375,pos,FALSE,NA,NA,NA,NA,NA
4601,2601,513.279138,513.276523,513.298385,685.3633,661.93,687.3479,72,70,72758.15255,pos,FALSE,NA,NA,NA,NA,NA
4602,2602,513.334481,513.329184,513.346836,750.3006,748.4892,756.6135,99,99,261934.4995,pos,TRUE,4602,0.014451,TRUE,0,1
4603,2603,513.844904,513.843137,513.846703,759.4615,758.8991,760.379,99,99,263269.5918,pos,TRUE,4603,0.911011,0,0,-1
4604,2604,513.801106,513.799053,513.802735,387.99625,387.1879,388.6956,98,98,176893.5295,pos,TRUE,4604,0.550644,0,0,1
4605,2605,514.263228,514.261505,514.264787,378.3508,377.6605,378.9677,99,99,810162.9318,pos,TRUE,4605,0.967172,0,0,1
4606,2606,514.306977,514.30532,514.308629,757.3509,756.6305,758.2074,99,99,1376043.428,pos,TRUE,4606,0.245218,0,0,1
4607,2607,514.633269,514.631594,514.634702,403.6346,402.7637,404.5296,99,99,1034918.921,pos,TRUE,4607,0.844093,0,0,1
4608,2608,514.76501,514.763042,514.766611,378.4042,377.3742,379.1651,99,99,343913.0099,pos,TRUE,4608,0.743443,0,0,1
4609,2609,514.808751,514.806857,514.810273,757.3863,756.6305,758.2074,99,99,728782.8689,pos,TRUE,4609,0.231031,0,0,1
4610,2610,514.967801,514.965857,514.969286,403.5696,402.6355,404.239,99,99,754973.1638,pos,TRUE,4610,0.361804,0,0,1
4611,2611,515.265784,515.263379,515.26823,377.9663,376.8644,379.3067,64,64,53266.32909,pos,FALSE,NA,NA,NA,NA,NA
