idx,idx_old,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,samples,MPA,polarity
848,848,383.277795,383.276345,383.278951,703.8806,702.5911,705.1135,101,101,168839.8782,neg
849,849,384.15425,384.152891,384.1559,397.318,386.8936,405.4736,79,79,109652.2512,neg
850,850,384.715634,384.714048,384.716704,58.9677,58.0773,60.1803,101,101,812587.6443,neg
852,852,384.878043,384.858397,384.883088,439.6744,410.1346,443.8693,76,76,80284.66384,neg
854,854,385.166558,385.165395,385.167632,371.6459,362.7596,377.7611,101,101,517335.958,neg
855,855,385.714255,385.712941,385.715957,56.50545,54.7889,58.2596,90,90,71614.32808,neg
857,857,386.712701,386.711149,386.713716,58.9504,58.0773,59.7522,101,101,788110.1087,neg
858,858,386.894462,386.893044,386.895387,440.694,439.6828,441.7976,101,101,421132.7522,neg
859,859,387.182045,387.180998,387.183263,424.2711,410.4398,446.1717,81,81,328863.1089,neg
860,860,387.997896,387.996076,387.999462,356.88365,355.1042,359.0509,82,82,94030.87591,neg
861,861,388.709755,388.708204,388.710843,59.1641,57.8918,60.1432,101,101,378434.6297,neg
862,862,388.890386,388.854008,388.892428,440.28445,398.705,441.807,102,101,274146.691,neg
863,863,388.905219,388.90011,388.906961,59.0903,57.5678,60.4855,67,67,100300.2683,neg
864,864,390.707131,390.705183,390.709318,58.0625,56.5,60.1803,89,89,84665.35252,neg
865,865,390.901429,390.899657,390.90307,60.9978,59.5798,62.9048,101,101,234184.5,neg
866,866,390.899741,390.89844,390.901559,91.6782,90.1963,92.6751,56,56,124141.0852,neg
867,867,390.967139,390.965543,390.970036,306.2693,300.744,312.3499,89,89,218462.6417,neg
868,868,391.28568,391.284775,391.287043,725.3357,714.4623,729.0273,81,81,1157996.694,neg
869,869,391.991459,391.989364,391.992416,357.68265,355.4788,359.5846,76,76,123393.6091,neg
870,870,392.288082,392.28624,392.289391,667.43115,662.863,671.9933,60,60,183191.3538,neg
871,871,392.747349,392.745601,392.748727,55.4887,53.0231,56.8131,101,101,178380.8221,neg
873,873,392.897754,392.895879,392.899291,62.4173,60.4222,64.7046,101,101,174637.1417,neg
874,874,392.897395,392.895497,392.898263,91.46675,90.5688,92.6342,56,56,107372.2677,neg
875,875,392.91131,392.909588,392.912523,440.8575,439.43,442.2947,101,101,531877.9993,neg
876,876,393.298192,393.296707,393.300222,675.3683,673.5292,677.1887,65,65,78154.52312,neg
878,878,394.744364,394.742706,394.745681,55.6655,54.3474,56.8131,101,101,392088.2593,neg
880,880,394.905073,394.887035,394.908678,439.8927,396.6279,441.7976,102,102,378781.0565,neg
881,881,394.986115,394.984588,394.986912,295.4657,292.8892,297.8292,100,100,309768.9277,neg
882,882,395.044356,395.043651,395.04602,260.8652,260.2343,262.2517,67,67,222252.767,neg
883,883,395.160441,395.158946,395.162013,402.33905,401.5221,434.6886,68,66,67273.66987,neg
884,884,395.187341,395.185993,395.189454,504.1943,478.1057,522.4551,99,99,229128.825,neg
885,885,396.741365,396.739987,396.742423,55.6766,54.3259,56.9723,101,101,305506.167,neg
887,887,396.888707,396.887137,396.903753,422.6522,393.1492,438.9482,71,71,313496.3245,neg
888,888,397.000696,396.999137,397.001815,305.2288,299.3739,311.2468,93,93,511635.2318,neg
889,889,397.175814,397.156557,397.177142,414.1998,402.7946,434.3843,83,82,144246.6505,neg
890,890,397.220232,397.219101,397.224389,560.0561,558.6758,586.5459,73,73,78767.51536,neg
891,891,397.202829,397.20146,397.203899,486.3928,463.5278,499.7622,101,101,1683846.39,neg
892,892,397.366175,397.364881,397.367109,738.8498,737.6836,739.6773,101,101,401735.9659,neg
893,893,398.206186,398.204972,398.207465,485.8785,463.0011,499.7622,101,101,312094.1232,neg
894,894,398.369405,398.367965,398.370468,738.0826,736.879,739.4786,90,90,92828.39732,neg
895,895,398.738144,398.735661,398.739819,54.7374,52.9053,56.2783,101,101,100422.1747,neg
896,896,398.85289,398.85125,398.853961,78.0702,77.2792,79.231,101,101,168756.7506,neg
897,897,398.933745,398.932589,398.936866,482.20535,460.9294,492.8336,86,86,282962.647,neg
899,899,399.272524,399.270209,399.274478,599.13415,597.7061,601.0448,94,94,103506.1354,neg
900,900,400.689186,400.68776,400.691313,58.1963,55.9728,59.8836,69,69,66145.87684,neg
901,901,400.849985,400.848392,400.850975,78.0702,77.4185,79.0408,101,101,221794.7256,neg
902,902,400.889818,400.888224,400.8911,439.3723,438.8435,439.8392,101,101,810380.3294,neg
903,903,401.003346,401.001234,401.009748,295.9344,293.6352,298.4984,91,91,179505.4048,neg
904,904,401.893226,401.891483,401.895224,439.2052,438.3351,439.7685,97,97,96016.79121,neg
905,905,402.045084,402.043719,402.04632,273.8672,271.0092,276.1091,54,54,130307.4459,neg
906,906,402.686337,402.684676,402.688191,58.0733,56.0612,60.57,67,67,63275.69253,neg
907,907,402.775958,402.774054,402.778235,51.1341,50.2968,51.8588,101,101,85855.5615,neg
908,908,402.846967,402.84534,402.848771,78.44,76.7288,80.0362,101,101,85423.39356,neg
909,909,402.886827,402.882546,402.887957,439.3816,438.9043,439.8984,101,101,1038090.405,neg
911,911,402.974515,402.97298,402.976012,107.7024,106.3797,109.1299,100,100,171201.7237,neg
912,912,403.261352,403.260225,403.263403,702.8136,700.8459,704.9485,89,89,57875.71076,neg
913,913,403.889516,403.885232,403.891068,439.2195,437.6354,440.1453,99,99,135994.8486,neg
914,914,404.773149,404.771474,404.774633,51.2523,50.5799,52.2155,101,101,149112.6506,neg
915,915,404.883602,404.876806,404.884827,439.3854,438.9016,440.2511,101,101,486866.6354,neg
917,917,404.971572,404.969956,404.972966,107.7806,105.8417,110.2277,98,98,95457.20597,neg
918,918,405.189269,405.173108,405.190624,402.5398,384.1404,403.2828,87,87,143137.0565,neg
919,919,405.887043,405.883059,405.888605,439.1475,437.9631,440.0574,87,87,56070.85278,neg
920,920,406.056828,406.055358,406.05785,271.589,268.2847,273.4555,98,98,470499.6597,neg
921,921,406.140897,406.139646,406.142144,261.0327,260.1868,262.2883,101,101,366659.5873,neg
922,922,406.77021,406.768387,406.772319,51.0968,50.0527,52.4973,101,101,88696.88996,neg
923,923,406.882981,406.860178,406.889854,439.0226,436.7577,441.1226,99,99,105156.6499,neg
926,926,406.899724,406.898199,406.900721,22.08785,12.8879,31.5953,96,96,268256.2061,neg
927,927,407.167328,407.144996,407.171165,262.6136,260.7152,296.2227,96,93,112713.9992,neg
928,928,407.18402,407.183441,407.18532,731.3137,700.3614,767.3215,61,61,1271307.634,neg
929,929,407.205114,407.193921,407.20596,415.0661,402.784,415.5123,103,103,681915.9562,neg
930,930,408.138015,408.136424,408.139273,260.96605,260.1358,261.9081,70,70,122517.6765,neg
931,931,408.187393,408.186809,408.188886,731.3137,696.6817,766.2771,63,63,251809.7296,neg
932,932,408.208423,408.196047,408.209712,414.549,402.7946,415.3161,88,88,133717.4014,neg
933,933,409.365759,409.364295,409.367112,735.28435,732.5775,736.8372,92,92,118819.907,neg
934,934,411.056231,411.054581,411.057843,296.0855,294.5476,298.2475,59,59,106287.8426,neg
935,935,411.195209,411.19362,411.196854,262.77395,261.735,264.281,64,64,73085.74957,neg
936,936,411.345365,411.344004,411.346578,722.5607,721.345,723.7462,99,99,255641.548,neg
937,937,411.381617,411.380404,411.382837,757.1515,756.2994,758.0262,101,101,632589.5349,neg
938,938,412.07374,412.072239,412.074854,273.4555,271.0139,275.5455,99,99,420642.712,neg
939,939,412.201396,412.200078,412.202426,262.8223,261.9383,264.281,101,101,1282373.312,neg
940,940,412.384921,412.383602,412.386178,756.9248,755.9225,758.3918,97,97,159796.294,neg
941,941,412.804793,412.802686,412.806133,49.8661,49.223,50.7893,99,99,61504.53045,neg
942,942,412.963967,412.962054,412.96497,514.8832,488.4526,529.4967,100,100,213121.8626,neg
943,943,413.17439,413.173069,413.175541,612.0118,611.1791,613.2056,62,62,93772.29881,neg
944,944,413.1976,413.196321,413.198868,449.0043,433.0159,461.0003,101,101,1234597.04,neg
945,945,413.204306,413.203454,413.205923,262.31775,261.6883,263.5292,68,68,259826.1669,neg
946,946,414.201035,414.199573,414.202107,447.6437,432.4928,461.0003,99,99,231981.5175,neg
947,947,414.800185,414.796549,414.803139,50.4979,49.071,51.2675,101,101,86209.62691,neg
948,948,415.194414,415.192709,415.197505,448.12145,444.6504,451.2296,78,78,109902.4364,neg
949,949,416.169695,416.161441,416.170728,261.1867,260.4276,262.4186,92,92,273160.4232,neg
950,950,416.226317,416.224986,416.227479,261.2106,260.3794,262.8811,101,101,658623.4614,neg
